Club,ManagerID,leagueName,stadium
Manchester City,1,Premier League,Etihad Stadium
Liverpool,2,Premier League,Anfield
Tottenham Hotspur,3,Premier League,Tottenham Hotspur Stadium
Chelsea,4,Premier League,Stamford Bridge
Manchester United,5,Premier League,Old Trafford
Arsenal,6,Premier League,Emirates Stadium
Everton,7,Premier League,Goodison Park
Leicester City,8,Premier League,King Power Stadium
Wolverhampton Wanderers,9,Premier League,Molineux Stadium
West Ham United,10,Premier League,London Stadium
Afc Bournemouth,11,Premier League,Vitality Stadium
Newcastle United,12,Premier League,St James' Park
Aston Villa,13,Premier League,Villa Park
Watford,14,Premier League,Vicarage Road
Brighton Amp Hove Albion,15,Premier League,AMEX Stadium
Southampton,16,Premier League,St Mary's Stadium
Crystal Palace,17,Premier League,Selhurst Park
Burnley,18,Premier League,Turf Moor
Sheffield United,19,Premier League,Bramall Lane
Norwich City,20,Premier League,Carrow Road
