ManagerID,Name,Age,Country,Formation,Contract,winPercentage
1,Eddie Howe,42,England,4-4-2,30.06.2020,41.04
2,Sean Dyche,48,England,4-4-2,30.06.2022,37.87
3,Chris Wilder,52,England,3-5-2,30.06.2024,52.43
4,Pep Guardiola,49,Spain,4-3-3,30.06.2021,74.43
5,Daniel Farke,43,Germany,4-2-3-1,30.06.2022,41.18
6,Nuno Espirito Santo,46,Portugal,5-4-1,30.06.2021,52.05
7,Roy Hodgson,72,England,4-3-3,30.06.2021,35.96
8,Dean Smith,49,England,4-1-4-1,30.06.2023,43.24
9,Brendan Rodgers,47,Northern Ireland,4-2-3-1,30.06.2025,58.33
10,Ole Gunnar Solskjaer,47,Norway,4-2-3-1,30.06.2022,47.37
11,Graham Potter,44,England,4-2-3-1,30.06.2025,21.88
12,Frank Lampard,41,England,4-2-3-1,30.06.2022,50.0
13,Steve Bruce,59,England,4-2-3-1,30.06.2022,34.29
14,Jose Mourinho,57,Portugal,4-2-3-1,30.06.2023,42.31
15,Nigel Pearson,56,England,4-2-3-1,30.06.2020,33.33
16,Mikel Arteta,38,Spain,4-2-3-1,30.06.2023,53.33
17,Carlo Ancelotti,60,Italy,4-4-2,30.06.2024,41.67
18,David Moyes,56,Scotland,3-4-2-1,30.06.2021,25.0
19,Jurgen Klopp,52,Germany,4-3-3,30.06.2024,61.42
20,Ralph Hasenhuttl,52,Austria,4-4-2,30.06.2021,35.0
