Club_name,League_Position,Matches_played,Matches_won,Matches_Lost,Goals_For,Goals_Against,Season_Year
Liverpool,1,29,27,1,66,21,2019
Manchester City,2,28,18,7,68,31,2019
Leicester City,3,29,16,8,58,28,2019
Chelsea,4,29,14,9,51,39,2019
Manchester United,5,29,12,8,44,30,2019
Wolverhampton Wanderers,6,29,10,6,41,34,2019
Sheffield United,7,28,11,7,30,25,2019
Tottenham Hotspur,8,29,11,10,47,40,2019
Arsenal,9,28,9,6,40,36,2019
Burnley,10,29,11,12,34,40,2019
Crystal Palace,11,29,10,10,26,32,2019
Everton,12,29,10,12,37,46,2019
Newcastle United,13,29,9,12,25,41,2019
Southampton,14,29,10,15,35,52,2019
Brighton Amp Hove Albion,15,29,6,12,32,40,2019
West Ham United,16,29,7,16,35,50,2019
Watford,17,29,6,14,27,44,2019
Afc Bournemouth,18,29,7,16,29,47,2019
Aston Villa,19,28,7,17,34,56,2019
Norwich City,20,29,5,18,25,52,2019
Juventus,1,26,20,3,50,24,2019
Lazio,2,26,19,2,60,23,2019
Inter Milan,3,25,16,3,49,24,2019
Atalanta,4,25,14,5,70,34,2019
Roma,5,26,13,7,51,35,2019
SSC Napoli,6,26,11,9,41,36,2019
Milan,7,26,10,10,28,34,2019
Hellas Verona,8,25,9,8,29,26,2019
Parma,9,25,10,10,32,31,2019
Bologna,10,26,9,10,38,42,2019
Sassuolo,11,25,9,11,41,39,2019
Cagliari,12,25,8,9,41,40,2019
Fiorentina,13,26,7,10,32,36,2019
Udinese,14,26,7,12,21,37,2019
Torino,15,25,8,14,28,45,2019
Sampdoria,16,25,7,13,28,44,2019
Genoa,17,26,6,13,31,47,2019
Lecce,18,26,6,13,34,56,2019
SPAL,19,26,5,18,20,44,2019
Brescia,20,26,4,18,22,49,2019
Barcelona,1,27,18,5,63,31,2019
Real Madrid,2,27,16,3,49,19,2019
Sevilla,3,27,13,6,39,29,2019
Real Sociedad San Sebastian,4,27,14,9,45,33,2019
Getafe,5,27,13,7,37,25,2019
Atletico Madrid,6,27,11,4,31,21,2019
Valencia,7,27,11,7,38,39,2019
Villarreal,8,27,11,11,44,38,2019
Granada,9,27,11,11,33,32,2019
Athletic Bilbao,10,27,9,8,29,23,2019
Ca Osasuna,11,27,8,9,34,38,2019
Real Betis Sevilla,12,27,8,10,38,43,2019
Ud Levante,13,27,10,14,32,40,2019
Deportivo Alaves,14,27,8,11,29,37,2019
Real Valladolid,15,27,6,10,23,33,2019
Sd Eibar,16,27,7,14,27,41,2019
Celta Vigo,17,27,5,11,22,34,2019
Rcd Mallorca,18,27,7,16,28,44,2019
Cd Leganes,19,27,5,14,21,39,2019
Espanyol Barcelona,20,27,4,15,23,46,2019
